"qb"	"year"	"game.num"	"opponent"	"pass.atts"	"comps"	"pass.yds"	"pass.tds"	"ints"	"carries"	"rush.yds"	"rush.tds"	"cum.pass.atts"	"cum.comps"	"cum.pass.yds"	"cum.pass.tds"	"cum.ints"	"cum.carries"	"cum.rush.yds"	"cum.rush.tds"
"Jason Fife"	2003	25	"Minnesota (24)"	1	1	13	0	0	0	0	0	487	254	3631	30	14	118	292	8
"Kellen Clemens"	2004	19	"IND"	44	24	317	3	3	12	44	0	388	229	2918	23	13	98	161	2
"Dennis Dixon"	2004	1	"IND"	1	0	0	0	0	2	4	0	1	0	0	0	0	2	4	0
"Kellen Clemens"	2004	20	"OKLA"	35	24	179	1	0	8	7	0	423	253	3097	24	13	106	168	2
"Dennis Dixon"	2004	2	"OKLA"	2	1	2	0	0	1	4	0	3	1	2	0	0	3	8	0
"Kellen Clemens"	2004	21	"IDHO"	19	11	157	3	0	5	8	0	442	264	3254	27	13	111	176	2
"Dennis Dixon"	2004	3	"IDHO"	8	5	71	0	0	3	14	0	11	6	73	0	0	6	22	0
"Kellen Clemens"	2004	22	"ASU"	31	17	177	1	0	16	27	0	473	281	3431	28	13	127	203	2
"Kellen Clemens"	2004	23	"WSU"	55	36	437	3	0	14	36	3	528	317	3868	31	13	141	239	5
"Dennis Dixon"	2004	4	"WSU"	1	0	0	0	0	0	0	0	12	6	73	0	0	6	22	0
"Kellen Clemens"	2004	24	"ARIZ"	30	21	336	1	0	12	17	0	558	338	4204	32	13	153	256	5
"Kellen Clemens"	2004	25	"STAN"	33	22	275	0	1	5	0	0	591	360	4479	32	14	158	256	5
"Kellen Clemens"	2004	26	"WASH"	34	21	134	2	1	9	22	0	625	381	4613	34	15	167	278	5
"Garren Strong"	2004	1	"WASH"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Kellen Clemens"	2004	27	"CAL"	33	19	218	4	0	14	53	0	658	400	4831	38	15	181	331	5
"Kellen Clemens"	2004	28	"UCLA"	29	15	192	1	2	10	2	1	687	415	5023	39	17	191	333	6
"Kellen Clemens"	2004	29	"ORST"	29	13	126	3	3	13	-26	0	716	428	5149	42	20	204	307	6
"Dennis Dixon"	2004	5	"ORST"	3	0	0	0	0	4	18	0	15	6	73	0	0	10	40	0
"Kellen Clemens"	2005	30	"HOU"	47	30	348	2	0	12	72	0	763	458	5497	44	20	216	379	6
"Dennis Dixon"	2005	6	"HOU"	2	0	0	0	1	4	23	1	17	6	73	0	1	14	63	1
"Kellen Clemens"	2005	31	"MONT"	40	24	275	2	0	5	7	0	803	482	5772	46	20	221	386	6
"Dennis Dixon"	2005	7	"MONT"	1	1	39	1	0	5	16	0	18	7	112	1	1	19	79	1
"Brady Leaf"	2005	1	"MONT"	5	2	25	0	0	1	-4	0	5	2	25	0	0	1	-4	0
"Matt Dragich"	2005	1	"MONT"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Kellen Clemens"	2005	32	"Fresno State (23)"	38	28	332	4	0	13	58	0	841	510	6104	50	20	234	444	6
"Garren Strong"	2005	2	"Fresno State (23)"	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"Kellen Clemens"	2005	33	"USC"	30	15	168	1	0	9	5	0	871	525	6272	51	20	243	449	6
"Dennis Dixon"	2005	8	"USC"	7	6	29	0	1	5	21	0	25	13	141	1	2	24	100	1
"Kellen Clemens"	2005	34	"STAN"	29	22	393	3	1	3	-3	0	900	547	6665	54	21	246	446	6
"Dennis Dixon"	2005	9	"STAN"	8	7	63	0	0	1	5	0	33	20	204	1	2	25	105	1
"Brady Leaf"	2005	2	"STAN"	2	1	7	0	0	1	0	0	7	3	32	0	0	2	-4	0
"Kellen Clemens"	2005	35	"ASU"	39	20	278	2	2	9	47	0	939	567	6943	56	23	255	493	6
"Terrence Whitehead"	2005	2	"ASU"	1	0	0	0	0	21	122	1	2	0	0	0	0	45	199	1
"Kellen Clemens"	2005	36	"WASH"	48	36	425	4	0	8	22	0	987	603	7368	60	23	263	515	6
"Dennis Dixon"	2005	10	"WASH"	2	1	-1	0	0	0	0	0	35	21	203	1	2	25	105	1
"Kellen Clemens"	2005	37	"ARIZ"	18	10	187	1	1	10	20	0	1005	613	7555	61	24	273	535	6
"Brady Leaf"	2005	3	"ARIZ"	10	5	53	0	1	0	0	0	17	8	85	0	1	2	-4	0
"Dennis Dixon"	2005	11	"CAL"	26	15	139	1	1	8	8	0	61	36	342	2	3	33	113	1
"Brady Leaf"	2005	4	"CAL"	13	9	93	1	0	1	-5	0	30	17	178	1	1	3	-9	0
"Dennis Dixon"	2005	12	"Washington State"	22	16	197	1	0	6	43	0	83	52	539	3	3	39	156	1
"Brady Leaf"	2005	5	"Washington State"	17	12	99	1	1	3	-5	0	47	29	277	2	2	6	-14	0
"Dennis Dixon"	2005	13	"ORST"	17	12	204	3	0	9	21	0	100	64	743	6	3	48	177	1
"Brady Leaf"	2005	6	"ORST"	11	5	54	0	0	3	-6	0	58	34	331	2	2	9	-20	0
"Brady Leaf"	2005	7	"OKLA"	24	14	136	1	1	5	1	0	82	48	467	3	3	14	-19	0
"Dennis Dixon"	2005	14	"OKLA"	19	11	107	0	0	9	5	0	119	75	850	6	3	57	182	1
"Garren Strong"	2005	3	"OKLA"	1	0	0	0	0	1	3	0	3	0	0	0	0	1	3	0
"Dennis Dixon"	2006	15	"STAN"	30	21	236	1	0	5	17	1	149	96	1086	7	3	62	199	2
"Dennis Dixon"	2006	16	"FRES"	36	23	240	0	0	10	32	0	185	119	1326	7	3	72	231	2
"Dennis Dixon"	2006	17	"OKLA"	41	26	341	2	2	6	34	1	226	145	1667	9	5	78	265	3
"Brady Leaf"	2006	8	"OKLA"	1	1	2	0	0	1	-10	0	83	49	469	3	3	15	-29	0
"Dennis Dixon"	2006	18	"ASU"	30	19	215	3	0	9	31	0	256	164	1882	12	5	87	296	3
"Brady Leaf"	2006	9	"ASU"	7	4	44	1	0	4	0	0	90	53	513	4	3	19	-29	0
"Dennis Dixon"	2006	19	"CAL"	35	20	263	2	3	11	45	0	291	184	2145	14	8	98	341	3
"Brady Leaf"	2006	10	"CAL"	1	1	25	0	0	0	0	0	91	54	538	4	3	19	-29	0
"Dennis Dixon"	2006	20	"UCLA"	17	10	144	2	0	11	69	0	308	194	2289	16	8	109	410	3
"Brady Leaf"	2006	11	"UCLA"	5	1	4	1	1	0	0	0	96	55	542	5	4	19	-29	0
"Brady Leaf"	2006	12	"WSU"	27	16	262	2	0	4	6	0	123	71	804	7	4	23	-23	0
"Dennis Dixon"	2006	21	"WSU"	20	12	105	0	2	3	10	0	328	206	2394	16	10	112	420	3
"Dennis Dixon"	2006	22	"PRST"	23	13	150	1	0	6	42	0	351	219	2544	17	10	118	462	3
"Nate Costa"	2006	1	"PRST"	3	3	51	0	0	2	14	0	3	3	51	0	0	2	14	0
"Brady Leaf"	2006	13	"PRST"	9	4	34	0	0	4	12	1	132	75	838	7	4	27	-11	1
"Aaron Knowles"	2006	1	"PRST"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Dennis Dixon"	2006	23	"WASH"	25	14	109	0	2	7	53	0	376	233	2653	17	12	125	515	3
"Brady Leaf"	2006	14	"WASH"	5	4	29	0	0	6	14	0	137	79	867	7	4	33	3	1
"Dennis Dixon"	2006	24	"USC"	23	15	130	0	1	11	24	0	399	248	2783	17	13	136	539	3
"Brady Leaf"	2006	15	"USC"	22	13	104	1	0	4	-6	0	159	92	971	8	4	37	-3	1
"Nate Costa"	2006	2	"USC"	2	2	22	0	0	5	25	0	5	5	73	0	0	7	39	0
