"qb"	"year"	"game.num"	"opponent"	"pass.atts"	"comps"	"pass.yds"	"pass.tds"	"ints"	"carries"	"rush.yds"	"rush.tds"	"cum.pass.atts"	"cum.comps"	"cum.pass.yds"	"cum.pass.tds"	"cum.ints"	"cum.carries"	"cum.rush.yds"	"cum.rush.tds"
"Marcus Mariota"	2013	15	"UVA"	28	14	199	2	0	4	122	1	385	256	3110	35	6	115	987	8
"Jeff Lockie"	2013	2	"UVA"	1	1	8	0	0	0	0	0	4	2	16	0	0	1	8	1
"Marcus Mariota"	2013	16	"TENN"	33	23	456	4	0	6	27	1	418	279	3566	39	6	121	1014	9
"Jeff Lockie"	2013	3	"TENN"	2	2	15	0	0	1	8	0	6	4	31	0	0	2	16	1
"Marcus Mariota"	2013	17	"CAL"	25	11	114	2	0	6	33	1	443	290	3680	41	6	127	1047	10
"Jeff Lockie"	2013	4	"CAL"	1	1	3	0	0	0	0	0	7	5	34	0	0	2	16	1
"Marcus Mariota"	2013	18	"COLO"	27	16	355	5	0	7	43	2	470	306	4035	46	6	134	1090	12
"Jake Rodrigues"	2013	2	"COLO"	4	1	37	0	1	3	10	0	6	3	67	1	1	4	38	0
"Jeff Lockie"	2013	5	"COLO"	3	2	14	0	1	2	12	0	10	7	48	0	1	4	28	1
"Marcus Mariota"	2013	19	"WASH"	31	24	366	3	0	13	88	1	501	330	4401	49	6	147	1178	13
"Marcus Mariota"	2013	20	"WSU"	32	23	327	2	0	8	67	1	533	353	4728	51	6	155	1245	14
"Jeff Lockie"	2013	6	"WSU"	1	1	9	0	0	0	0	0	11	8	57	0	1	4	28	1
"Marcus Mariota"	2013	21	"UCLA"	28	21	230	1	0	7	18	0	561	374	4958	52	6	162	1263	14
"Marcus Mariota"	2013	22	"STAN"	34	20	250	2	0	6	-16	0	595	394	5208	54	6	168	1247	14
"Marcus Mariota"	2013	23	"UTAH"	26	19	288	3	0	4	-18	0	621	413	5496	57	6	172	1229	14
"Jeff Lockie"	2013	7	"UTAH"	2	0	0	0	0	0	0	0	13	8	57	0	1	4	28	1
"Marcus Mariota"	2013	24	"ARIZ"	41	27	308	2	2	8	52	0	662	440	5804	59	8	180	1281	14
"Marcus Mariota"	2013	25	"ORST"	34	17	285	3	2	7	53	0	696	457	6089	62	10	187	1334	14
"Marcus Mariota"	2013	26	"TEX"	26	18	253	1	0	15	133	0	722	475	6342	63	10	202	1467	14
"Marcus Mariota"	2014	27	"MSU"	28	17	318	3	0	9	42	0	750	492	6660	66	10	211	1509	14
"Marcus Mariota"	2014	28	"WYO"	23	19	221	2	0	5	71	2	773	511	6881	68	10	216	1580	16
"Jeff Lockie"	2014	8	"WYO"	8	6	72	0	0	1	13	0	21	14	129	0	1	5	41	1
"Marcus Mariota"	2014	29	"SDAK"	20	14	267	3	0	6	43	1	793	525	7148	71	10	222	1623	17
"Jeff Lockie"	2014	9	"SDAK"	12	11	113	1	0	0	0	0	33	25	242	1	1	5	41	1
"Marcus Mariota"	2014	30	"WSU"	25	21	329	5	0	13	58	0	818	546	7477	76	10	235	1681	17
"Marcus Mariota"	2014	31	"ARIZ"	32	20	276	2	0	9	1	0	850	566	7753	78	10	244	1682	17
"Royce Freeman"	2014	1	"ARIZ"	1	1	26	1	0	19	85	0	1	1	26	1	0	19	85	0
"Marcus Mariota"	2014	32	"UCLA"	27	17	210	2	0	7	75	2	877	583	7963	80	10	251	1757	19
"Marcus Mariota"	2014	33	"WASH"	33	24	336	2	0	7	-1	0	910	607	8299	82	10	258	1756	19
"Marcus Mariota"	2014	34	"CAL"	30	18	326	5	1	6	36	0	940	625	8625	87	11	264	1792	19
"Marcus Mariota"	2014	35	"STAN"	30	19	258	2	1	9	85	2	970	644	8883	89	12	273	1877	21
"Jeff Lockie"	2014	10	"STAN"	1	0	0	0	0	0	0	0	34	25	242	1	1	5	41	1
"Marcus Mariota"	2014	36	"UTAH"	29	17	239	3	0	18	114	1	999	661	9122	92	12	291	1991	22
"Marcus Mariota"	2014	37	"COLO"	32	24	323	3	0	8	73	1	1031	685	9445	95	12	299	2064	23
"Jeff Lockie"	2014	11	"COLO"	4	2	9	0	0	1	3	0	38	27	251	1	1	6	44	1
"Marcus Mariota"	2014	38	"ORST"	25	19	367	4	0	10	39	2	1056	704	9812	99	12	309	2103	25
"Marcus Mariota"	2014	39	"ARIZ"	38	25	313	2	0	10	33	3	1094	729	10125	101	12	319	2136	28
"Jeff Lockie"	2014	12	"ARIZ"	2	2	13	0	0	0	0	0	40	29	264	1	1	6	44	1
"Marcus Mariota"	2014	40	"FSU"	36	26	338	2	1	8	62	1	1130	755	10463	103	13	327	2198	29
"Marcus Mariota"	2014	41	"OSU"	37	24	333	2	1	10	39	0	1167	779	10796	105	14	337	2237	29
"Jeff Lockie"	2014	13	"OSU"	1	0	0	0	0	0	0	0	41	29	264	1	1	6	44	1
"Vernon Adams"	2015	1	"EWU"	25	19	246	2	0	14	94	0	25	19	246	2	0	14	94	0
"Vernon Adams"	2015	2	"MSU"	39	22	309	1	2	14	6	1	64	41	555	3	2	28	100	1
"Jeff Lockie"	2015	14	"GAST"	31	23	228	2	0	8	2	0	72	52	492	3	1	14	46	1
"Jeff Lockie"	2015	15	"UTAH"	20	10	139	1	2	10	37	0	92	62	631	4	3	24	83	1
"Vernon Adams"	2015	3	"UTAH"	7	2	26	1	0	6	5	0	71	43	581	4	2	34	105	1
"Taylor Alie"	2015	1	"UTAH"	3	2	13	0	0	2	25	1	3	2	13	0	0	2	25	1
"Taylor Alie"	2015	2	"COLO"	9	4	83	1	0	5	22	0	12	6	96	1	0	7	47	1
"Jeff Lockie"	2015	16	"COLO"	11	8	54	0	1	5	18	0	103	70	685	4	4	29	101	1
"Bralon Addison"	2015	1	"COLO"	1	1	39	1	0	2	17	0	1	1	39	1	0	2	17	0
"Jeff Lockie"	2015	17	"WSU"	22	13	123	2	1	8	52	0	125	83	808	6	5	37	153	1
"Taylor Alie"	2015	3	"WSU"	2	0	0	0	0	2	8	1	14	6	96	1	0	9	55	2
"Vernon Adams"	2015	4	"WASH"	25	14	272	2	0	8	12	0	96	57	853	6	2	42	117	1
"Vernon Adams"	2015	5	"ASU"	40	23	315	4	1	8	-15	0	136	80	1168	10	3	50	102	1
"Bralon Addison"	2015	2	"ASU"	1	0	0	0	0	1	2	0	2	1	39	1	0	3	19	0
"Vernon Adams"	2015	6	"CAL"	29	17	300	4	2	8	43	1	165	97	1468	14	5	58	145	2
"Vernon Adams"	2015	7	"STAN"	12	10	205	2	0	8	-11	0	177	107	1673	16	5	66	134	2
"Vernon Adams"	2015	8	"USC"	25	20	407	6	1	4	-11	0	202	127	2080	22	6	70	123	2
"Vernon Adams"	2015	9	"ORST"	38	28	366	3	0	9	32	0	240	155	2446	25	6	79	155	2
"Vernon Adams"	2015	10	"TCU"	19	13	197	1	0	4	-8	0	259	168	2643	26	6	83	147	2
"Jeff Lockie"	2015	18	"TCU"	15	7	36	0	0	3	-17	0	140	90	844	6	5	40	136	1
"Ian Wheeler"	2015	1	"TCU"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Dakota Prukop"	2016	1	"UCD"	30	21	271	3	0	11	36	1	30	21	271	3	0	11	36	1
"Dakota Prukop"	2016	2	"UVA"	31	21	331	3	0	7	19	0	61	42	602	6	0	18	55	1
"Dakota Prukop"	2016	3	"NEB"	23	14	146	0	0	20	97	0	84	56	748	6	0	38	152	1
"Dakota Prukop"	2016	4	"COLO"	33	22	293	2	1	6	-10	0	117	78	1041	8	1	44	142	1
"Dakota Prukop"	2016	5	"WSU"	22	14	132	0	1	8	13	0	139	92	1173	8	2	52	155	1
"Justin Herbert"	2016	1	"WSU"	5	3	70	0	0	1	4	1	5	3	70	0	0	1	4	1
"Justin Herbert"	2016	2	"WASH"	34	21	179	2	1	6	6	0	39	24	249	2	1	7	10	1
"Justin Herbert"	2016	3	"CAL"	40	22	258	6	1	9	56	0	79	46	507	8	2	16	66	1
"Justin Herbert"	2016	4	"ASU"	42	31	489	4	0	11	23	0	121	77	996	12	2	27	89	1
"Justin Herbert"	2016	5	"USC"	33	18	162	1	0	4	-14	0	154	95	1158	13	2	31	75	1
"Dakota Prukop"	2016	6	"USC"	4	2	41	0	0	2	16	1	143	94	1214	8	2	54	171	2
"Justin Herbert"	2016	6	"STAN"	30	21	274	2	2	12	47	0	184	116	1432	15	4	43	122	1
"Justin Herbert"	2016	7	"UTAH"	43	30	324	3	0	13	44	1	227	146	1756	18	4	56	166	2
"Justin Herbert"	2016	8	"ORST"	28	16	180	1	0	2	-5	0	255	162	1936	19	4	58	161	2
"Jalen Brown"	2016	1	"ORST"	1	1	33	1	0	0	0	0	1	1	33	1	0	0	0	0
