"rb"	"year"	"game.num"	"opponent"	"carries"	"rush.yds"	"rush.tds"	"cum.carries"	"cum.rush.yds"	"cum.rush.tds"
"Dwayne Stanford"	2015	2	"WASH"	0	2	0	0	10	0
"Taj Griffin"	2015	6	"WASH"	8	-4	0	49	374	2
"Royce Freeman"	2015	22	"ASU"	15	110	2	398	2387	29
"Kani Benoit"	2015	13	"ASU"	3	66	1	55	312	3
"Darren Carrington"	2015	1	"ASU"	1	21	0	1	21	0
"Royce Freeman"	2015	23	"CAL"	29	180	0	427	2567	29
"Tony Brooks-James"	2015	5	"CAL"	7	101	0	29	238	2
"Kani Benoit"	2015	14	"CAL"	8	94	0	63	406	3
"Taj Griffin"	2015	7	"CAL"	8	59	0	57	433	2
"Kirk Merritt"	2015	1	"CAL"	1	2	0	1	2	0
"Royce Freeman"	2015	24	"STAN"	16	105	1	443	2672	30
"Charles Nelson"	2015	8	"STAN"	2	88	1	14	193	1
"Kani Benoit"	2015	15	"STAN"	6	35	1	69	441	4
"Bralon Addison"	2015	9	"STAN"	1	12	0	14	67	1
"Taj Griffin"	2015	8	"STAN"	2	4	0	59	437	2
"Royce Freeman"	2015	25	"USC"	20	147	0	463	2819	30
"Taj Griffin"	2015	9	"USC"	5	27	0	64	464	2
"Kani Benoit"	2015	16	"USC"	4	16	0	73	457	4
"Kirk Merritt"	2015	2	"USC"	1	1	0	2	3	0
"Bralon Addison"	2015	10	"USC"	2	-7	0	16	60	1
"Royce Freeman"	2015	26	"ORST"	27	167	2	490	2986	32
"Taj Griffin"	2015	10	"ORST"	9	65	1	73	529	3
"Bralon Addison"	2015	11	"ORST"	2	24	1	18	84	2
"Charles Nelson"	2015	9	"ORST"	1	17	0	15	210	1
"Kirk Merritt"	2015	3	"ORST"	1	10	0	3	13	0
"Tyler Johnstone"	2015	1	"ORST"	1	-6	0	1	-6	0
"Royce Freeman"	2015	27	"TCU"	26	130	3	516	3116	35
"Tony Brooks-James"	2015	6	"TCU"	3	50	1	32	288	3
"Taj Griffin"	2015	11	"TCU"	4	41	0	77	570	3
"DeForest Buckner"	2015	1	"TCU"	1	10	0	1	10	0
"Charles Nelson"	2015	10	"TCU"	2	6	0	17	216	1
"Kani Benoit"	2015	17	"TCU"	2	5	0	75	462	4
"Royce Freeman"	2016	28	"UCD"	11	87	2	527	3203	37
"Tony Brooks-James"	2016	7	"UCD"	5	57	1	37	345	4
"Kani Benoit"	2016	18	"UCD"	4	34	0	79	496	4
"Casey Eugenio"	2016	1	"UCD"	1	15	0	1	15	0
"Taj Griffin"	2016	12	"UCD"	2	8	0	79	578	3
"Devon Allen"	2016	2	"UCD"	1	6	0	2	27	0
"Charles Nelson"	2016	11	"UCD"	1	6	0	18	222	1
"Jarret LaCoste"	2016	1	"UCD"	1	2	0	1	2	0
"Royce Freeman"	2016	29	"UVA"	21	207	2	548	3410	39
"Kani Benoit"	2016	19	"UVA"	7	28	0	86	524	4
"Tony Brooks-James"	2016	8	"UVA"	5	16	1	42	361	5
"Dwayne Stanford"	2016	3	"UVA"	0	14	0	0	24	0
"Devon Allen"	2016	3	"UVA"	1	6	0	3	33	0
"Darren Carrington"	2016	2	"UVA"	1	6	0	2	27	0
"Taj Griffin"	2016	13	"UVA"	3	5	0	82	583	3
"Kani Benoit"	2016	20	"NEB"	6	100	1	92	624	5
"Taj Griffin"	2016	14	"NEB"	8	68	1	90	651	4
"Tony Brooks-James"	2016	9	"NEB"	7	37	3	49	398	8
"Royce Freeman"	2016	30	"NEB"	5	31	0	553	3441	39
"Brady Aiello"	2016	1	"NEB"	0	2	0	0	2	0
"Devon Allen"	2016	4	"NEB"	1	1	0	4	34	0
"Tony Brooks-James"	2016	10	"COLO"	16	120	1	65	518	9
"Kani Benoit"	2016	21	"COLO"	13	49	1	105	673	6
"Danny Mattingly"	2016	1	"COLO"	1	29	0	1	29	0
"Taj Griffin"	2016	15	"COLO"	9	27	1	99	678	5
"Royce Freeman"	2016	31	"WSU"	19	138	3	572	3579	42
"Tony Brooks-James"	2016	11	"WSU"	6	41	0	71	559	9
"Kani Benoit"	2016	22	"WSU"	2	11	0	107	684	6
"Charles Nelson"	2016	12	"WSU"	1	7	0	19	229	1
"Taj Griffin"	2016	16	"WASH"	7	60	1	106	738	6
"Tony Brooks-James"	2016	12	"WASH"	8	60	0	79	619	9
"Jarret LaCoste"	2016	2	"WASH"	10	55	0	11	57	0
"Royce Freeman"	2016	32	"WASH"	11	50	0	583	3629	42
"Charles Nelson"	2016	13	"WASH"	1	-1	0	20	228	1
"Tony Brooks-James"	2016	13	"CAL"	15	109	1	94	728	10
"Taj Griffin"	2016	17	"CAL"	6	17	0	112	755	6
"Royce Freeman"	2016	33	"CAL"	15	10	0	598	3639	42
"Tony Brooks-James"	2016	14	"ASU"	9	132	1	103	860	11
"Kani Benoit"	2016	23	"ASU"	6	39	0	113	723	6
"Royce Freeman"	2016	34	"ASU"	17	38	1	615	3677	43
"Khalil Oliver"	2016	1	"ASU"	1	16	0	1	16	0
"Team"	2016	1	"ASU"	2	-3	0	2	-3	0
"Royce Freeman"	2016	35	"USC"	10	38	0	625	3715	43
"Charles Nelson"	2016	14	"USC"	1	25	1	21	253	2
"Tony Brooks-James"	2016	15	"USC"	8	25	0	111	885	11
"Taj Griffin"	2016	18	"USC"	2	-2	0	114	753	6
"Kani Benoit"	2016	24	"USC"	3	-3	0	116	720	6
"Royce Freeman"	2016	36	"STAN"	20	111	1	645	3826	44
"Kani Benoit"	2016	25	"STAN"	9	42	1	125	762	7
"Tony Brooks-James"	2016	16	"STAN"	4	26	0	115	911	11
"Royce Freeman"	2016	37	"UTAH"	20	129	0	665	3955	44
"Tony Brooks-James"	2016	17	"UTAH"	9	78	0	124	989	11
"Kani Benoit"	2016	26	"UTAH"	1	0	0	126	762	7
"Royce Freeman"	2016	38	"ORST"	19	106	0	684	4061	44
"Tony Brooks-James"	2016	18	"ORST"	9	70	1	133	1059	12
